"Commodity-wise, Market-wise Daily Report (Weighted Average) on: 18-Mar-2026"

Market Center,Arrivals,Unit of Arrivals,Variety,Minimum Price,Maximum Price,Modal Price,Unit of Price,Grade
Sangli APMC,63.7,Metric Tonnes,Other,5000.0,6000.0,5500.0,Rs./Quintal,Local
Shevgaon(Bodhegaon) APMC,0.3,Metric Tonnes,Other,2200.0,2200.0,2200.0,Rs./Quintal,Non-FAQ
Solapur APMC,4.9,Metric Tonnes,Other,3805.0,4805.0,4515.0,Rs./Quintal,FAQ
Tuljapur APMC,23.9,Metric Tonnes,Jowar ( White),3500.0,4500.0,4400.0,Rs./Quintal,Local
Total,812.4,Metric Tonnes,,,,4401.1,Rs./Quintal,
State Name : Rajasthan
Bhilwara APMC,0.5,Metric Tonnes,Other,2100.0,2100.0,2100.0,Rs./Quintal,FAQ
Deoli APMC,0.2,Metric Tonnes,Local,2200.0,2501.0,2351.0,Rs./Quintal,Grade Range-1
Nagaur APMC,3.75,Metric Tonnes,Other,3500.0,4500.0,4400.0,Rs./Quintal,Local
Total,4.45,Metric Tonnes,,,,4049.48,Rs./Quintal,
State Name : Uttar Pradesh
Bharuasumerpur APMC,29.1,Metric Tonnes,Jowar ( White),5450.0,5600.0,5550.0,Rs./Quintal,FAQ
Total,29.1,Metric Tonnes,,,,5550.0,Rs./Quintal,
Grand Total,1376.94,Metric Tonnes,,,,4007.69,Rs./Quintal,
Kodo Millet(Varagu)
State Name : Madhya Pradesh
Baikunthpur APMC,10.595,Metric Tonnes,Kondo,2240.0,2255.0,2255.0,Rs./Quintal,FAQ
Hanumana APMC,12.0,Metric Tonnes,Kondo,2150.0,2150.0,2150.0,Rs./Quintal,FAQ
Jabalpur APMC,0.20400000000000001,Metric Tonnes,Kondo,2140.0,2140.0,2140.0,Rs./Quintal,FAQ
Katni APMC,30.0,Metric Tonnes,Kondo,2050.0,2400.0,2100.0,Rs./Quintal,FAQ
Katni APMC,6.0,Metric Tonnes,Kondo-Organic,2400.0,2400.0,2400.0,Rs./Quintal,FAQ
Mehar APMC,9.256,Metric Tonnes,Kondo,2025.0,2025.0,2025.0,Rs./Quintal,FAQ
Mohgaon APMC,51.0,Metric Tonnes,Kondo,2505.0,2505.0,2505.0,Rs./Quintal,FAQ
Satna APMC,12.05,Metric Tonnes,Kondo,2025.0,2100.0,2050.0,Rs./Quintal,FAQ
Shahpura(Jabalpur) APMC,21.805000000000003,Metric Tonnes,Kondo,2115.0,2125.0,2115.0,Rs./Quintal,FAQ
Umariya APMC,27.6,Metric Tonnes,Kondo,2000.0,2101.0,2000.0,Rs./Quintal,FAQ
Total,180.51,Metric Tonnes,,,,2216.2,Rs./Quintal,
Grand Total,180.51,Metric Tonnes,,,,2216.2,Rs./Quintal,
Kutki
State Name : Madhya Pradesh
Bichhiya APMC,4.522,Metric Tonnes,Kutki,4250.0,4250.0,4250.0,Rs./Quintal,FAQ
Mandla APMC,21.700000000000003,Metric Tonnes,Kutki,4400.0,4456.0,4456.0,Rs./Quintal,FAQ
Mohgaon APMC,26.3,Metric Tonnes,Kutki,3501.0,3510.0,3505.0,Rs./Quintal,FAQ
Shahpura(Jabalpur) APMC,3.2,Metric Tonnes,Kutki,4200.0,4200.0,4200.0,Rs./Quintal,FAQ
Total,55.72,Metric Tonnes,,,,3975.72,Rs./Quintal,
Grand Total,55.72,Metric Tonnes,,,,3975.72,Rs./Quintal,
Maize (MSP: Rs. 2400.00/Quintal)
State Name : Chattisgarh
Devbhog APMC,30.8,Metric Tonnes,Local,1700.0,1700.0,1700.0,Rs./Quintal,Non-FAQ
Kondagoan APMC,30.0,Metric Tonnes,Hybrid,1700.0,1700.0,1700.0,Rs./Quintal,Non-FAQ
Kusmee APMC,30.0,Metric Tonnes,Local,2100.0,2100.0,2100.0,Rs./Quintal,Non-FAQ
Narayanpur APMC,13.6,Metric Tonnes,Medium,1450.0,1550.0,1500.0,Rs./Quintal,Non-FAQ
Pakhanjur APMC,52.3,Metric Tonnes,Local,1800.0,1900.0,1850.0,Rs./Quintal,Non-FAQ
Pharasgaon APMC,55.0,Metric Tonnes,Hybrid,1700.0,1700.0,1700.0,Rs./Quintal,Non-FAQ
Surajpur APMC,10.5,Metric Tonnes,Deshi Red,1550.0,1550.0,1550.0,Rs./Quintal,Non-FAQ
Total,222.2,Metric Tonnes,,,,1769.98,Rs./Quintal,
State Name : Gujarat
Amirgadh APMC,0.5,Metric Tonnes,Hybrid/Local,1925.0,2000.0,2000.0,Rs./Quintal,FAQ
Bhiloda APMC,2.5,Metric Tonnes,Other,1900.0,2100.0,2000.0,Rs./Quintal,Non-FAQ
Dahod APMC,198.9,Metric Tonnes,White (SAFED),1600.0,2100.0,1850.0,Rs./Quintal,Local
Himatnagar APMC,1.0,Metric Tonnes,Yellow,1650.0,1950.0,1900.0,Rs./Quintal,Local
Modasa APMC,4.5,Metric Tonnes,Hybrid Red (Cattle Feed),1655.0,1955.0,1955.0,Rs./Quintal,Non-FAQ
Modasa(Tintoi) APMC,2.5,Metric Tonnes,Hybrid Red (Cattle Feed),1600.0,1900.0,1900.0,Rs./Quintal,Non-FAQ
Morva Hafad APMC,2.0,Metric Tonnes,Local,1750.0,2100.0,1925.0,Rs./Quintal,Local
Vadali APMC,4.0,Metric Tonnes,Other,1800.0,1850.0,1825.0,Rs./Quintal,Local
Total,215.9,Metric Tonnes,,,,1855.31,Rs./Quintal,
State Name : Karnataka
Badami APMC,11.8,Metric Tonnes,Hybrid/Local,1700.0,1700.0,1700.0,Rs./Quintal,FAQ
Bagalkot(Bigali) APMC,14.8,Metric Tonnes,Other,1650.0,1650.0,1650.0,Rs./Quintal,FAQ
Bailahongal APMC,74.0,Metric Tonnes,Hybrid/Local,1550.0,1700.0,1623.0,Rs./Quintal,Local
Bangarpet APMC,12.600000000000001,Metric Tonnes,Local,1500.0,2000.0,1930.0,Rs./Quintal,Local
Bellary APMC,78.0,Metric Tonnes,Local,1450.0,1966.0,1705.0,Rs./Quintal,Non-FAQ
Belur APMC,14.4,Metric Tonnes,Hybrid/Local,1700.0,1800.0,1700.0,Rs./Quintal,FAQ
Bhadravathi APMC,76.5,Metric Tonnes,Local,1740.0,1890.0,1890.0,Rs./Quintal,Local
Bijapur APMC,288.5,Metric Tonnes,Hybrid/Local,1710.0,1750.0,1722.0,Rs./Quintal,Local
Channagiri APMC,130.0,Metric Tonnes,Local,1550.0,1700.0,1650.0,Rs./Quintal,Grade Range-1
Chickkaballapura APMC,1.0,Metric Tonnes,Sweet Corn (For Biscuits),400.0,600.0,500.0,Rs./Quintal,Local
Chickkaballapura APMC,33.0,Metric Tonnes,Pro Agro 4212,3800.0,4100.0,3950.0,Rs./Quintal,Local
Chikkamagalore APMC,46.7,Metric Tonnes,Local,1700.0,1800.0,1777.0,Rs./Quintal,Local
Chitradurga APMC,20.0,Metric Tonnes,Local,1542.0,1735.0,1671.0,Rs./Quintal,Local
Davangere APMC,324.5,Metric Tonnes,Local,1409.0,1717.0,1619.0,Rs./Quintal,Local
Dharwar APMC,32.5,Metric Tonnes,Local,1600.0,1700.0,1650.0,Rs./Quintal,FAQ
Gowribidanoor APMC,20.3,Metric Tonnes,Hybrid/Local,1750.0,2000.0,1900.0,Rs./Quintal,Local
H.B. Halli APMC,82.2,Metric Tonnes,Local,1610.0,1660.0,1660.0,Rs./Quintal,Local
Haliyala APMC,53.1,Metric Tonnes,Hybrid/Local,1650.0,1700.0,1690.0,Rs./Quintal,Local
Hanagal APMC,256.0,Metric Tonnes,Local,1600.0,1700.0,1650.0,Rs./Quintal,FAQ
Harappana Halli APMC,330.8,Metric Tonnes,Hybrid/Local,1439.0,1780.0,1625.0,Rs./Quintal,Local
Harihara APMC,345.1,Metric Tonnes,Hybrid/Local,1626.0,1750.0,1688.0,Rs./Quintal,Non-FAQ
Hassan APMC,22.1,Metric Tonnes,Local,1875.0,1875.0,1875.0,Rs./Quintal,Local
Haveri APMC,6225.3,Metric Tonnes,Local,1400.0,1710.0,1690.0,Rs./Quintal,FAQ
Hirekerur APMC,331.6,Metric Tonnes,Hybrid/Local,1500.0,1700.0,1581.0,Rs./Quintal,FAQ
Holalkere APMC,204.5,Metric Tonnes,Yellow,1600.0,1700.0,1643.0,Rs./Quintal,Local
Holenarsipura APMC,10.0,Metric Tonnes,Local,1800.0,1800.0,1800.0,Rs./Quintal,FAQ
Honnali APMC,229.20000000000002,Metric Tonnes,Local,1650.0,1800.0,1724.0,Rs./Quintal,Local
Hubli (Amaragol) APMC,368.40000000000003,Metric Tonnes,Local,1506.0,1511.0,1507.0,Rs./Quintal,Local
Hungund APMC,5.0,Metric Tonnes,Local,1800.0,1800.0,1800.0,Rs./Quintal,FAQ
Hungund APMC,29.6,Metric Tonnes,Pro Agro 4212,3500.0,3500.0,3500.0,Rs./Quintal,FAQ
Hunsur APMC,122.5,Metric Tonnes,Other,1600.0,1800.0,1800.0,Rs./Quintal,Non-FAQ
Jagalur APMC,150.0,Metric Tonnes,Hybrid/Local,1500.0,1500.0,1500.0,Rs./Quintal,Non-FAQ
K.R.Nagar APMC,10.0,Metric Tonnes,Local,1700.0,1700.0,1700.0,Rs./Quintal,FAQ
Kalagategi APMC,305.3,Metric Tonnes,Local,1390.0,1770.0,1623.0,Rs./Quintal,Local
Koppal APMC,130.4,Metric Tonnes,Yellow,1650.0,1750.0,1696.0,Rs./Quintal,Non-FAQ
Kottur APMC,1154.3,Metric Tonnes,Hybrid/Local,1259.0,1838.0,1686.0,Rs./Quintal,Local
Kudchi APMC,15.0,Metric Tonnes,Hybrid/Local,1680.0,1790.0,1700.0,Rs./Quintal,Local
Kustagi APMC,269.7,Metric Tonnes,Hybrid/Local,1680.0,1750.0,1706.0,Rs./Quintal,FAQ
Lingasugur APMC,9.0,Metric Tonnes,Hybrid/Local,1790.0,2000.0,2000.0,Rs./Quintal,Non-FAQ
Manvi APMC,10.4,Metric Tonnes,Other,1910.0,1910.0,1910.0,Rs./Quintal,Non-FAQ
Mundgod APMC,85.10000000000001,Metric Tonnes,Hybrid/Local,1600.0,1630.0,1630.0,Rs./Quintal,Non-FAQ
Nargunda APMC,159.3,Metric Tonnes,Local,1650.0,1870.0,1704.0,Rs./Quintal,Non-FAQ
Ramdurga APMC,0.30000000000000004,Metric Tonnes,Local,1631.0,1631.0,1631.0,Rs./Quintal,FAQ
Rampura APMC,14.4,Metric Tonnes,Hybrid/Local,1660.0,1660.0,1660.0,Rs./Quintal,FAQ
Ranebennur APMC,1619.8000000000002,Metric Tonnes,Local,1600.0,1850.0,1710.0,Rs./Quintal,FAQ
Rona APMC,22.0,Metric Tonnes,Hybrid/Local,1750.0,1750.0,1750.0,Rs./Quintal,Non-FAQ
Sankeshwar APMC,46.6,Metric Tonnes,Hybrid/Local,1810.0,1820.0,1820.0,Rs./Quintal,Local
Savanur APMC,82.4,Metric Tonnes,Hybrid/Local,1600.0,1750.0,1675.0,Rs./Quintal,Local
Shiggauv APMC,96.5,Metric Tonnes,Hybrid/Local,1600.0,1750.0,1600.0,Rs./Quintal,Non-FAQ
Shikaripura APMC,637.3000000000001,Metric Tonnes,Local,1650.0,1813.0,1726.0,Rs./Quintal,Non-FAQ
Soundati APMC,57.7,Metric Tonnes,Local,1700.0,1700.0,1700.0,Rs./Quintal,Non-FAQ
Yalburga APMC,26.700000000000003,Metric Tonnes,Hybrid/Local,1700.0,1700.0,1700.0,Rs./Quintal,Non-FAQ
Yellapur APMC,4874.8,Metric Tonnes,Local,1890.0,1950.0,1900.0,Rs./Quintal,Local
Total,19571.0,Metric Tonnes,,,,1743.07,Rs./Quintal,
State Name : Madhya Pradesh
A lot APMC,0.06999999999999999,Metric Tonnes,Local,1431.0,1431.0,1431.0,Rs./Quintal,FAQ
Alirajpur APMC,2.0,Metric Tonnes,Local,2000.0,2000.0,2000.0,Rs./Quintal,Non-FAQ
Alirajpur APMC,12.600000000000001,Metric Tonnes,Local,1485.15,1500.0,1500.0,Rs./Quintal,FAQ
Alirajpur APMC,3.04,Metric Tonnes,Hybrid Yellow (Cattle Feed),1350.0,1350.0,1350.0,Rs./Quintal,FAQ
Amarwda APMC,76.7,Metric Tonnes,Hybrid Yellow (Cattle Feed),1500.0,1500.0,1500.0,Rs./Quintal,FAQ
Amarwda APMC,161.70000000000002,Metric Tonnes,Yellow,1480.0,1825.0,1700.0,Rs./Quintal,FAQ
Amarwda APMC,40.5,Metric Tonnes,Local,1490.0,1680.0,1680.0,Rs./Quintal,Non-FAQ
Amarwda APMC,542.332,Metric Tonnes,Local,1500.0,1800.0,1711.0,Rs./Quintal,FAQ
Anjad APMC,98.78500000000001,Metric Tonnes,Yellow,1400.0,1630.0,1500.0,Rs./Quintal,FAQ
Anjad APMC,70.75,Metric Tonnes,Local,1350.0,1800.0,1500.0,Rs./Quintal,FAQ
Aron APMC,130.037,Metric Tonnes,Local,1522.0,1713.0,1550.0,Rs./Quintal,FAQ
Ashoknagar APMC,137.655,Metric Tonnes,Local,1500.0,1740.0,1690.0,Rs./Quintal,FAQ
Badarwas APMC,10.295000000000002,Metric Tonnes,Local,1575.0,1590.0,1590.0,Rs./Quintal,FAQ
Badarwas APMC,32.778,Metric Tonnes,Local,1200.0,1680.0,1680.0,Rs./Quintal,Non-FAQ
Badwaha APMC,15.200000000000001,Metric Tonnes,Local,1640.0,1650.0,1650.0,Rs./Quintal,Non-FAQ
Badwaha APMC,63.917,Metric Tonnes,Local,1050.0,1665.0,1665.0,Rs./Quintal,FAQ
Badwani APMC,25.290000000000003,Metric Tonnes,Yellow,1160.0,1450.0,1450.0,Rs./Quintal,FAQ
Balwadi APMC,50.138000000000005,Metric Tonnes,Local,1405.0,1662.0,1655.0,Rs./Quintal,FAQ
Banapura APMC,474.245,Metric Tonnes,Yellow,1514.0,1799.0,1726.0,Rs./Quintal,FAQ
Banda APMC,30.256,Metric Tonnes,Local,1550.0,1555.0,1550.0,Rs./Quintal,Non-FAQ
Begamganj APMC,95.91000000000001,Metric Tonnes,Local,1200.0,1820.0,1600.0,Rs./Quintal,Non-FAQ
Betul APMC,321.5,Metric Tonnes,Yellow,1400.0,1630.0,1625.0,Rs./Quintal,FAQ
Betul APMC,65.675,Metric Tonnes,Local,1495.0,1500.0,1500.0,Rs./Quintal,Non-FAQ
Betul APMC,5.195,Metric Tonnes,Deshi White,1738.0,1738.0,1738.0,Rs./Quintal,FAQ
Betul APMC,930.115,Metric Tonnes,Deshi Red,1450.0,1930.0,1730.0,Rs./Quintal,FAQ
Bhensdehi APMC,72.368,Metric Tonnes,Local,1450.0,1786.0,1680.0,Rs./Quintal,FAQ
Bhikangaon APMC,2.5500000000000003,Metric Tonnes,Local,1450.0,1450.0,1450.0,Rs./Quintal,Non-FAQ
Bhikangaon APMC,2.8550000000000004,Metric Tonnes,Yellow,1660.0,1660.0,1660.0,Rs./Quintal,FAQ
Bhikangaon APMC,687.9060000000001,Metric Tonnes,Local,1280.0,1850.0,1550.0,Rs./Quintal,FAQ
Bichhiya APMC,9.0,Metric Tonnes,Local,1500.0,1500.0,1500.0,Rs./Quintal,FAQ
Binaganj APMC,2.9090000000000003,Metric Tonnes,Local,1640.0,1640.0,1640.0,Rs./Quintal,Non-FAQ
Burhanpur APMC,33.176,Metric Tonnes,Local,1498.0,1790.0,1790.0,Rs./Quintal,Non-FAQ
Burhanpur APMC,29.0,Metric Tonnes,Yellow,1350.0,1350.0,1350.0,Rs./Quintal,Non-FAQ
Burhanpur APMC,442.629,Metric Tonnes,Local,1100.0,1799.0,1500.0,Rs./Quintal,FAQ
Chaurai APMC,1161.236,Metric Tonnes,Yellow,1200.0,1850.0,1800.0,Rs./Quintal,FAQ
Chaurai APMC,351.3,Metric Tonnes,Yellow,1535.0,1750.0,1535.0,Rs./Quintal,Non-FAQ
Chaurai APMC,10.5,Metric Tonnes,Hybrid Yellow (Cattle Feed),1801.0,1801.0,1801.0,Rs./Quintal,FAQ
Chaurai APMC,143.5,Metric Tonnes,Local,1590.0,1710.0,1689.0,Rs./Quintal,FAQ
Chaurai APMC,56.5,Metric Tonnes,Local,1650.0,1750.0,1750.0,Rs./Quintal,Non-FAQ
Chhindwara APMC,5.45,Metric Tonnes,Yellow,1860.0,1860.0,1860.0,Rs./Quintal,FAQ
Chhindwara APMC,130.0,Metric Tonnes,Local,1600.0,1680.0,1650.0,Rs./Quintal,Non-FAQ
Chhindwara APMC,641.7,Metric Tonnes,Yellow,1701.0,2000.0,1825.0,Rs./Quintal,Non-FAQ
Chhindwara APMC,38.5,Metric Tonnes,Local,1681.0,1700.0,1700.0,Rs./Quintal,FAQ
Chhpara APMC,45.260000000000005,Metric Tonnes,Local,1600.0,1770.0,1770.0,Rs./Quintal,Non-FAQ
Damoh APMC,26.564999999999998,Metric Tonnes,Local,1575.0,1610.0,1600.0,Rs./Quintal,FAQ
Dhamnod APMC,464.52700000000004,Metric Tonnes,Local,1087.0,1773.0,1400.0,Rs./Quintal,FAQ
Dhar APMC,45.131,Metric Tonnes,Local,1500.0,1734.0,1600.0,Rs./Quintal,FAQ
Gairatganj APMC,5.5,Metric Tonnes,Local,1500.0,1500.0,1500.0,Rs./Quintal,Non-FAQ
Gandhwani APMC,74.263,Metric Tonnes,Local,1500.0,1800.0,1800.0,Rs./Quintal,FAQ
Ganjbasoda APMC,36.336000000000006,Metric Tonnes,Local,1372.0,1765.0,1600.0,Rs./Quintal,FAQ
Garoth APMC,1.5010000000000001,Metric Tonnes,Local,1485.0,1575.0,1575.0,Rs./Quintal,Non-FAQ
Ghansour APMC,5.300000000000001,Metric Tonnes,Popcorn,1550.0,1550.0,1550.0,Rs./Quintal,FAQ
Ghansour APMC,70.2,Metric Tonnes,Yellow,1520.0,1815.0,1550.0,Rs./Quintal,FAQ
Gotegaon APMC,104.9,Metric Tonnes,Local,1521.0,1800.0,1755.0,Rs./Quintal,FAQ
Gotegaon APMC,81.80000000000001,Metric Tonnes,Yellow,1550.0,1660.0,1600.0,Rs./Quintal,FAQ
Guna APMC,143.62,Metric Tonnes,Local,550.0,1785.0,1575.0,Rs./Quintal,FAQ
Haatpipliya APMC,2.9770000000000003,Metric Tonnes,Local,1450.0,1576.0,1576.0,Rs./Quintal,Non-FAQ
Harsood APMC,14.5,Metric Tonnes,Local,1600.0,1600.0,1600.0,Rs./Quintal,Non-FAQ
Isagarh APMC,18.034000000000002,Metric Tonnes,Local,1500.0,1585.0,1500.0,Rs./Quintal,FAQ
Itarsi APMC,225.37,Metric Tonnes,Local,1401.0,2025.0,1900.0,Rs./Quintal,FAQ
Jabalpur APMC,191.056,Metric Tonnes,Local,1500.0,1775.0,1500.0,Rs./Quintal,FAQ
Jaora APMC,3.064,Metric Tonnes,Local,1510.0,1510.0,1510.0,Rs./Quintal,FAQ
Javad APMC,33.857,Metric Tonnes,Local,1425.0,1501.0,1501.0,Rs./Quintal,FAQ
Jobat APMC,6.0,Metric Tonnes,Local,1300.0,1400.0,1400.0,Rs./Quintal,Non-FAQ
Jobat APMC,4.0,Metric Tonnes,Local,1400.0,1400.0,1400.0,Rs./Quintal,FAQ
Kareli APMC,10.115000000000002,Metric Tonnes,Local,1723.0,1764.0,1764.0,Rs./Quintal,FAQ
Karhi APMC,16.265,Metric Tonnes,Local,1255.0,1675.0,1675.0,Rs./Quintal,FAQ
Keolari APMC,51.5,Metric Tonnes,Local,1600.0,1620.0,1610.0,Rs./Quintal,FAQ
Khandwa APMC,53.870000000000005,Metric Tonnes,Local,1430.0,1620.0,1620.0,Rs./Quintal,FAQ
Khargone APMC,629.94,Metric Tonnes,Local,1090.0,1775.0,1501.0,Rs./Quintal,FAQ
Khargone APMC,45.075,Metric Tonnes,Local,1155.0,1525.0,1525.0,Rs./Quintal,Non-FAQ
Khetia APMC,33.7,Metric Tonnes,Local,1265.0,1625.0,1500.0,Rs./Quintal,FAQ
Khetia APMC,278.165,Metric Tonnes,Yellow,1230.0,1650.0,1350.0,Rs./Quintal,FAQ
Khilchipur APMC,1.0050000000000001,Metric Tonnes,Local,1500.0,1540.0,1540.0,Rs./Quintal,FAQ
Kolaras APMC,14.627000000000002,Metric Tonnes,Local,1285.0,1695.0,1695.0,Rs./Quintal,Non-FAQ
Kukshi APMC,7.03,Metric Tonnes,Local,1195.0,1205.0,1205.0,Rs./Quintal,Non-FAQ
Kukshi APMC,91.68,Metric Tonnes,Local,1265.0,1455.0,1455.0,Rs./Quintal,FAQ
Kumbhraj APMC,4.08,Metric Tonnes,Local,1600.0,1725.0,1725.0,Rs./Quintal,FAQ
Kumbhraj APMC,0.7000000000000001,Metric Tonnes,Local,1620.0,1620.0,1620.0,Rs./Quintal,Non-FAQ
Lakhnadon APMC,36.0,Metric Tonnes,Yellow,1650.0,1650.0,1650.0,Rs./Quintal,FAQ
Lateri APMC,64.54700000000001,Metric Tonnes,Local,1550.0,1605.0,1590.0,Rs./Quintal,Non-FAQ
Loharda APMC,42.830000000000005,Metric Tonnes,Local,1400.0,1643.0,1450.0,Rs./Quintal,FAQ
Maksudangarh APMC,21.130000000000003,Metric Tonnes,Local,1550.0,1603.0,1603.0,Rs./Quintal,FAQ
Maksudangarh APMC,8.99,Metric Tonnes,Local,1636.0,1784.0,1784.0,Rs./Quintal,Non-FAQ
Manasa APMC,41.435,Metric Tonnes,Local,1300.0,1751.0,1711.0,Rs./Quintal,FAQ
Manawar APMC,419.06899999999996,Metric Tonnes,Local,1200.0,1930.0,1500.0,Rs./Quintal,FAQ
Manawar APMC,47.34,Metric Tonnes,Local,875.0,1500.0,1500.0,Rs./Quintal,Non-FAQ
Manawar APMC,9.0,Metric Tonnes,Yellow,1500.0,1500.0,1500.0,Rs./Quintal,FAQ
Mandla APMC,4.1000000000000005,Metric Tonnes,Local,1700.0,1700.0,1700.0,Rs./Quintal,Non-FAQ
Mandsaur APMC,45.187000000000005,Metric Tonnes,Local,1540.0,1765.0,1691.0,Rs./Quintal,Non-FAQ
Multai APMC,158.60000000000002,Metric Tonnes,Local,1500.0,1610.0,1601.0,Rs./Quintal,Non-FAQ
Mundi APMC,1.06,Metric Tonnes,Local,1360.0,1360.0,1360.0,Rs./Quintal,FAQ
Mungawali APMC,10.615000000000002,Metric Tonnes,Local,1555.0,1570.0,1570.0,Rs./Quintal,Non-FAQ
Nainpur APMC,3.965,Metric Tonnes,Local,1665.0,1665.0,1665.0,Rs./Quintal,FAQ
Narsinghpur APMC,8.5,Metric Tonnes,Yellow,1600.0,1600.0,1600.0,Rs./Quintal,FAQ
Neemuch APMC,987.471,Metric Tonnes,Local,1081.0,1818.0,1733.0,Rs./Quintal,FAQ
Obedullaganj APMC,45.635000000000005,Metric Tonnes,Local,1350.0,1500.0,1500.0,Rs./Quintal,FAQ
Paatan APMC,27.745,Metric Tonnes,Local,1500.0,1760.0,1725.0,Rs./Quintal,FAQ
Palari APMC,24.0,Metric Tonnes,Local,1630.0,1640.0,1640.0,Rs./Quintal,FAQ
Palari APMC,46.0,Metric Tonnes,Local,1680.0,1681.0,1681.0,Rs./Quintal,Non-FAQ
Palari APMC,5.9,Metric Tonnes,Yellow,1700.0,1700.0,1700.0,Rs./Quintal,FAQ
Pandhana APMC,13.0,Metric Tonnes,Yellow,1400.0,1400.0,1400.0,Rs./Quintal,FAQ
Pandhana APMC,8.99,Metric Tonnes,Local,1490.0,1700.0,1700.0,Rs./Quintal,FAQ
Pandhurna APMC,50.2,Metric Tonnes,Local,1500.0,1600.0,1600.0,Rs./Quintal,FAQ
Pandhurna APMC,10.096,Metric Tonnes,Local,1725.0,1725.0,1725.0,Rs./Quintal,Non-FAQ
Petlawad APMC,0.44800000000000006,Metric Tonnes,Local,1501.0,1601.0,1601.0,Rs./Quintal,FAQ
Pipariya APMC,3.5500000000000003,Metric Tonnes,Local,1589.0,1612.0,1612.0,Rs./Quintal,FAQ
Raghogarh APMC,3.045,Metric Tonnes,Local,1735.0,1735.0,1735.0,Rs./Quintal,Non-FAQ
Raghogarh APMC,10.351,Metric Tonnes,Local,1650.0,1740.0,1740.0,Rs./Quintal,FAQ
Rajgarh APMC,23.138,Metric Tonnes,Local,1400.0,2160.0,1600.0,Rs./Quintal,FAQ
Rajgarh APMC,1.756,Metric Tonnes,Local,1560.0,1560.0,1560.0,Rs./Quintal,Non-FAQ
Rajgarh APMC,24.845,Metric Tonnes,Yellow,1525.0,1625.0,1625.0,Rs./Quintal,Non-FAQ
Ratlam APMC,1.04,Metric Tonnes,Local,1570.0,1570.0,1570.0,Rs./Quintal,FAQ
Rehati APMC,3.4700000000000006,Metric Tonnes,Local,1500.0,1500.0,1500.0,Rs./Quintal,FAQ
Rehli APMC,52.7,Metric Tonnes,Local,1690.0,1790.0,1725.0,Rs./Quintal,Non-FAQ
Sanawad APMC,10.020000000000001,Metric Tonnes,Local,910.0,1265.0,1265.0,Rs./Quintal,FAQ
Saunsar APMC,83.72000000000001,Metric Tonnes,Yellow,1640.0,1711.0,1690.0,Rs./Quintal,FAQ
Segaon APMC,12.535,Metric Tonnes,Local,1450.0,1600.0,1600.0,Rs./Quintal,Non-FAQ
Segaon APMC,67.54,Metric Tonnes,Local,1300.0,1680.0,1450.0,Rs./Quintal,FAQ
Sendhwa APMC,4.28,Metric Tonnes,Deshi Red,1520.0,1520.0,1520.0,Rs./Quintal,FAQ
Sendhwa APMC,724.315,Metric Tonnes,Local,1265.0,2200.0,1500.0,Rs./Quintal,FAQ
Seoni APMC,372.635,Metric Tonnes,Local,100.0,1850.0,1850.0,Rs./Quintal,Non-FAQ
Seoni APMC,54.08,Metric Tonnes,Yellow,1600.0,1770.0,1600.0,Rs./Quintal,FAQ
Seoni APMC,198.60000000000002,Metric Tonnes,Local,1696.0,1841.0,1800.0,Rs./Quintal,FAQ
Seoni APMC,993.6700000000001,Metric Tonnes,Yellow,1650.0,1865.0,1746.0,Rs./Quintal,Non-FAQ
Seoni APMC,0.44500000000000006,Metric Tonnes,Other,1442.0,1442.0,1442.0,Rs./Quintal,FAQ
Shadora APMC,1.21,Metric Tonnes,Local,1475.0,1475.0,1475.0,Rs./Quintal,Non-FAQ
Shadora APMC,0.63,Metric Tonnes,Local,1430.0,1435.0,1435.0,Rs./Quintal,FAQ
Shahpura Bhitoni (F&V) APMC,13.486000000000002,Metric Tonnes,Yellow,1600.0,1650.0,1650.0,Rs./Quintal,FAQ
Shamgarh APMC,0.094,Metric Tonnes,Local,1650.0,1650.0,1650.0,Rs./Quintal,Non-FAQ
Shamgarh APMC,4.663,Metric Tonnes,Local,1700.0,1710.0,1710.0,Rs./Quintal,FAQ
Shamshabad APMC,0.196,Metric Tonnes,Local,1351.0,1351.0,1351.0,Rs./Quintal,FAQ
Shivpuri APMC,8.925,Metric Tonnes,Local,1300.0,1575.0,1575.0,Rs./Quintal,FAQ
Sitmau APMC,3.0860000000000003,Metric Tonnes,Local,1501.0,1650.0,1650.0,Rs./Quintal,FAQ
Susner APMC,1.85,Metric Tonnes,Local,1600.0,1600.0,1600.0,Rs./Quintal,Non-FAQ
Vidisha APMC,18.337,Metric Tonnes,Local,1331.0,1587.0,1587.0,Rs./Quintal,FAQ
Total,14899.34,Metric Tonnes,,,,1646.54,Rs./Quintal,
State Name : Maharashtra
Amarawati APMC,0.1,Metric Tonnes,Deshi Red,1450.0,1600.0,1525.0,Rs./Quintal,Non-FAQ
Chattrapati Sambhajinagar APMC,18.3,Metric Tonnes,Yellow,1350.0,1671.0,1510.0,Rs./Quintal,Non-FAQ
Jalana APMC,157.3,Metric Tonnes,Deshi Red,1411.0,1711.0,1575.0,Rs./Quintal,Non-FAQ
Jalgaon(Masawat) APMC,8.2,Metric Tonnes,Deshi Red,1460.0,1560.0,1500.0,Rs./Quintal,Non-FAQ
