"Commodity-wise, Market-wise Daily Report (Weighted Average) on: 18-Mar-2026"

Market Center,Arrivals,Unit of Arrivals,Variety,Minimum Price,Maximum Price,Modal Price,Unit of Price,Grade
Anupgarh APMC,1.0,Metric Tonnes,Other,1850.0,1850.0,1850.0,Rs./Quintal,Grade Range-1
Bandikui APMC,85.0,Metric Tonnes,Other,1750.0,2200.0,1975.0,Rs./Quintal,Local
Bassi APMC,19.0,Metric Tonnes,Other,1800.0,2114.0,1957.0,Rs./Quintal,Local
Bharatpur APMC,21.5,Metric Tonnes,Other,1865.0,1975.0,1920.0,Rs./Quintal,FAQ
Bhusawar Bair APMC,24.700000000000003,Metric Tonnes,Bold,1800.0,2000.0,1900.0,Rs./Quintal,Local
Chomu (Grain) APMC,9.0,Metric Tonnes,Local,1790.0,1790.0,1790.0,Rs./Quintal,Local
Dausa APMC,89.7,Metric Tonnes,Other,1780.0,2320.0,2050.0,Rs./Quintal,Local
Degana APMC,2.3000000000000003,Metric Tonnes,Other,1700.0,1800.0,1750.0,Rs./Quintal,Local
Deoli APMC,0.30000000000000004,Metric Tonnes,Bold,1701.0,1801.0,1751.0,Rs./Quintal,Grade Range-1
Dooni APMC,7.1000000000000005,Metric Tonnes,Bold,1930.0,2017.0,1974.0,Rs./Quintal,Local
Gangapur City APMC,3.5,Metric Tonnes,Other,1950.0,2071.0,2050.0,Rs./Quintal,Non-FAQ
Hindoun APMC,80.7,Metric Tonnes,Other,1603.0,2080.0,1842.0,Rs./Quintal,Local
Jayal APMC,2.9000000000000004,Metric Tonnes,Bold,1700.0,2000.0,1800.0,Rs./Quintal,Grade Range-2
Jhunjhunu APMC,0.30000000000000004,Metric Tonnes,Local,1850.0,1850.0,1850.0,Rs./Quintal,FAQ
Khairthal APMC,22.3,Metric Tonnes,Other,1800.0,2000.0,1880.0,Rs./Quintal,Non-FAQ
Khandar APMC,0.3,Metric Tonnes,Bold,1750.0,1750.0,1750.0,Rs./Quintal,Local
Kherli APMC,9.8,Metric Tonnes,Other,1730.0,1800.0,1770.0,Rs./Quintal,Non-FAQ
Kishangarh Renwal APMC,12.700000000000001,Metric Tonnes,Other,1800.0,1850.0,1825.0,Rs./Quintal,Local
Kuchaman City APMC,4.0,Metric Tonnes,Local,1830.0,1850.0,1830.0,Rs./Quintal,FAQ
Lalsot APMC,25.8,Metric Tonnes,Other,1880.0,2220.0,2100.0,Rs./Quintal,Local
Madanganj Kishangarh APMC,17.3,Metric Tonnes,Other,1626.0,1850.0,1800.0,Rs./Quintal,Local
Malpura APMC,10.0,Metric Tonnes,Other,1880.0,1925.0,1900.0,Rs./Quintal,FAQ
Mandawar APMC,12.5,Metric Tonnes,Other,1842.0,1960.0,1925.0,Rs./Quintal,FAQ
Nadwai APMC,4.7,Metric Tonnes,Other,1710.0,1839.0,1750.0,Rs./Quintal,Local
Pahari APMC,2.9000000000000004,Metric Tonnes,Local,1801.0,1801.0,1801.0,Rs./Quintal,FAQ
Rajdhanai Mandi (KukarKheda) APMC,2.5,Metric Tonnes,Bold,2025.0,2025.0,2025.0,Rs./Quintal,Grade Range-2
Sri Madhopur APMC,15.4,Metric Tonnes,Bold,1600.0,2000.0,1850.0,Rs./Quintal,Local
Sujangarh APMC,0.5,Metric Tonnes,Other,2000.0,2000.0,2000.0,Rs./Quintal,Local
Surajgarh APMC,14.0,Metric Tonnes,Other,2000.0,2000.0,2000.0,Rs./Quintal,Local
Tijara APMC,2.5,Metric Tonnes,Bold,1700.0,1900.0,1800.0,Rs./Quintal,Non-FAQ
Total,513.4,Metric Tonnes,,,,1929.83,Rs./Quintal,
State Name : Uttar Pradesh
Atrauli APMC,40.0,Metric Tonnes,Hybrid,1800.0,1900.0,1850.0,Rs./Quintal,FAQ
Charra APMC,12.5,Metric Tonnes,Hybrid,1700.0,1800.0,1750.0,Rs./Quintal,FAQ
Khairagarh APMC,5.0,Metric Tonnes,Deshi,1700.0,1800.0,1750.0,Rs./Quintal,FAQ
Rura APMC,650.0,Metric Tonnes,Local,1800.0,1850.0,1825.0,Rs./Quintal,FAQ
Sikandraraau APMC,5.0,Metric Tonnes,Hybrid,1780.0,1905.0,1845.0,Rs./Quintal,FAQ
Total,712.5,Metric Tonnes,,,,1824.7,Rs./Quintal,
Grand Total,1976.4,Metric Tonnes,,,,2037.11,Rs./Quintal,
Barley(Jau) (MSP: Rs. 2150.00/Quintal)
